Date,Open,High,Low,Close,Adj Close,Volume
2005/12/23,17.290001,17.389999,17.25,17.35,13.529624,22792700
2005/12/27,17.379999,17.48,17.23,17.25,13.451641,29883100
2005/12/28,17.219999,17.41,17.15,17.290001,13.482833,38695500
2005/12/29,17.299999,17.389999,17.139999,17.24,13.443846,36009500
2005/12/30,17.120001,17.190001,17.07,17.120001,13.350268,39290000
2006/1/3,17.209999,17.49,17.18,17.450001,13.6076,55426000
2006/1/4,17.48,17.93,17.459999,17.85,13.919523,80408900
2006/1/5,17.940001,18.48,17.93,18.35,14.309429,118575500
2006/1/6,18.51,18.879999,18.469999,18.77,14.636946,122446000
2006/1/9,18.969999,19.110001,18.92,19.059999,14.863091,78592600
2006/1/10,18.870001,19.15,18.780001,18.969999,14.79291,73828200
2006/1/11,18.98,19.43,18.940001,19.4,15.128226,73933100
2006/1/12,19.27,19.35,19.08,19.200001,14.972265,59581300
2006/1/13,19.129999,19.33,18.889999,18.92,14.753918,52349600
2006/1/17,18.700001,18.780001,18.469999,18.68,14.566766,53125200
2006/1/18,18.4,18.85,18.370001,18.73,14.605756,69475200
2006/1/19,18.85,19.120001,18.82,19.02,14.831901,54516900
2006/1/20,18.91,18.93,18.24,18.51,14.434199,77815100
2006/1/23,18.540001,18.559999,18.129999,18.16,14.161265,54554200
2006/1/24,18.17,18.469999,18.15,18.33,14.29383,50574700
2006/1/25,18.35,18.610001,18.26,18.57,14.480984,51610600
2006/1/26,18.57,18.690001,18.25,18.58,14.488783,64896300
2006/1/27,18.58,18.950001,18.559999,18.780001,14.644746,48720700
2006/1/30,18.690001,18.950001,18.67,18.889999,14.730525,43844300
2006/1/31,18.700001,18.74,18.32,18.57,14.480984,64719200
2006/2/1,18.4,18.620001,18.35,18.58,14.488783,53734600
2006/2/2,18.459999,18.75,18.299999,18.370001,14.325023,40284100
2006/2/3,18.290001,18.33,17.950001,18.15,14.153469,71696800
2006/2/6,18.030001,18.1,17.83,17.83,13.903932,51811100
2006/2/7,17.84,18.200001,17.82,18.09,14.106679,78522100
2006/2/8,19.27,19.5,19.110001,19.4,15.128226,200671700
2006/2/9,19.52,19.98,19.469999,19.549999,15.245194,119726500
2006/2/10,19.610001,19.879999,19.6,19.76,15.408952,73782500
2006/2/13,19.620001,19.85,19.32,19.549999,15.245194,58621900
2006/2/14,19.639999,19.860001,19.58,19.700001,15.362167,55792800
2006/2/15,19.6,19.959999,19.6,19.940001,15.549318,65024300
2006/2/16,19.91,20,19.83,19.98,15.580512,46990700
2006/2/17,19.940001,19.99,19.83,19.860001,15.486934,35965900
2006/2/21,19.709999,19.9,19.450001,19.58,15.268587,47666600
2006/2/22,19.57,19.93,19.57,19.67,15.33877,57719700
2006/2/23,19.620001,19.85,19.559999,19.719999,15.377758,48143700
2006/2/24,19.700001,19.91,19.68,19.85,15.479135,37444900
2006/2/27,19.85,20,19.83,19.969999,15.572714,55854400
